mean_wave,datasets,snrs,n_recovered
3935.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result', 'LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-4.661875200085275, -4.736436602882829, -4.662346905264695, -4.732729873681874]",4
6586.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result', 'LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[9.810326511025357, 8.975966180816174, 9.859579395858914, 9.036351526341523]",4
4872.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[-2.5433367853569493, -2.537535725715937]",2
9533.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[14.051077104715278, 14.443864422614942]",2
4387.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[-2.6522528564769887, -2.6691113425142023]",2
4365.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result', 'LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[3.0205565640219736, 2.9224419941963764, 3.0316342507426297, 2.929253444662592]",4
5270.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result', 'LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-3.821350466642032, -3.569600917140354, -3.825591374450933, -3.565182397279679]",4
8501.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result', 'LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-3.0656967051081976, -3.238797098233673, -3.071800514316486, -3.3434621787988874]",4
1931.0,"['BGS_loa_galaxy_result', 'LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[-4.622110622586574, -3.1257127157923543, -3.1870666799856497]",3
6598.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[-3.8775312127265993, -3.888073054605317]",2
2798.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[-2.947647534480243, -3.053567275726875]",2
5185.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[-2.51201447692125, -2.5126525902081958]",2
9024.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[-2.9671190199999047, -2.985427173880405]",2
5172.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[-4.452121250297745, -4.456214794316657]",2
1933.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[-4.307687192957431, -3.5393411078123522]",2
9019.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[-2.6329558327778724, -2.6741470188742773]",2
3729.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result', 'LRG_iron_galaxy_result', 'LRG_loa_galaxy_result']","[8.386980253314798, 4.628407374806789, 8.229919288736241, 4.655958263812348]",4
5009.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[4.337882543802026, 4.288024557616703]",2
6536.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[-2.9411846821204013, -2.9365675863097844]",2
1934.0,"['BGS_iron_galaxy_result', 'BGS_loa_galaxy_result']","[-5.136122783192794, -3.8862405263536894]",2
